Handle,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price
castor-oil-shampoo-bar-bag,Title,Default Title,,,,,501444No ColorOS,5,
castor-oil-shampoo-bar-saver-bag,Title,Default Title,,,,,506234,5,
castor-oil-solid-conditioner,Title,Default Title,,,,,66826No ColorOS,16,
ceramic-thermal-roller-variety-pack,Title,Default Title,,,,,1135No ColorOS,14,
charcoal-contour-pillow-eye-mask,Title,Default Title,,,,,69131,35,
charcoal-detoxifying-body-wash-bar,Title,Default Title,,,,,7575NCOS,14,
cherry-blossom-cloud-claw-clips-8pc-set-mini,Title,Default Title,,,,,500393No ColorOS,10,
cherry-blossom-dermaplaners-6pc-set,Title,Default Title,,,,,501420No ColorOS,15,
cherry-blossom-ruched-satin-scrunchies-5pc-set,Title,Default Title,,,,,500423No ColorOS,12,
cherry-flat-cloud-clip-medium,Title,Default Title,,,,,500447No ColorOS,9,
cherry-print-cloud-claw-clip-medium,Title,Default Title,,,,,500409,12,
cherry-print-creaseless-clips-4pc-set,Title,Default Title,,,,,500577No ColorOS,12,
cherry-print-oversized-satin-bonnet,Title,Default Title,,,,,500621No ColorOS,22,
cherry-print-satin-shower-cap,Title,Default Title,,,,,69957No ColorOS,29,
cherry-print-xl-hair-towel-wrap,Title,Default Title,,,,,69964No ColorOS,38,
cherry-rhinestone-claw-clips-2pc-set-mini,Title,Default Title,,,,,500584No ColorOS,12,
chocolate-seamless-hair-elastics-20pc-set,Title,Default Title,,,,,508740,8,
clarifying-shampoo-bar,Title,Default Title,,,,,5458NCOS,16,
cleansing-tart-cherry-body-wash,Title,Default Title,,,,,69179No ColorOS,12,
clear-black-no-snag-elastics-cutter-set,Title,Default Title,,,,,514222,9,
coastal-blue-plush-microfiber-hair-towel-turban-with-bow,Title,Default Title,,,,,510651,30,
coastal-cottage-multi-color-ruched-satin-scrunchies,Title,Default Title,,,,,509235,12,
coastal-sorbet-hair-perfume,Title,Default Title,,,,,509709,20,
coconut-oil-conditioner-for-dry-damaged-hair,Title,Default Title,,,,,505954,16,
coconut-oil-deep-moisturizing-solid-conditioner-bar,Title,Default Title,,,,,,14,
coconut-oil-deep-moisturizing-solid-shampoo-bar,Title,Default Title,,,,,64938NCOS,16,
coconut-oil-shampoo-for-dry-damaged-hair,Title,Default Title,,,,,505947,16,
consciously-created-wet_dry-brush,Title,Default Title,,,,,4963NCOS,16,
consciously-created-wide-tooth-comb,Title,Default Title,,,,,4949NCOS,12,
continuous-spray-black,Title,Default Title,,,,,64426No ColorOS,12,
continuous-spray-terracotta,Title,Default Title,,,,,64808No ColorOS,12,
continuous-spray-white,Title,Default Title,,,,,64815No ColorOS,12,
cotton-face-mask-3pc-set-sunset-tie-dye,Color,NC,Size,OS,,,6974NCOS,12,
cream-camel-oversized-scrunchies,Title,Default Title,,,,,503851,12,
cream-camel-satin-velvet-headbands,Title,Default Title,,,,,503554,14,
creaseless-clips-4pc-set-black-terrazzo,Title,Default Title,,,,,7766No ColorOS,10,
crepe-scrunchie-5pc-terra-cotta,Title,Default Title,,,,,6097NCOS,12,
crochet-scrunchie-butter-yellow,Title,Default Title,,,,,509334,14,
crochet-scrunchie-seafoam-blue,Title,Default Title,,,,,509341,14,
deep-moisturizing-conditioner-bar,Title,Default Title,,,,,5465NCOS,16,
dermaplaner,Title,Default Title,,,,,5454No ColorOS,15,
dermaplaning-oil,Title,Default Title,,,,,500591No ColorOS,19,
detail-define-styling-brush-set,Title,Default Title,,,,,505848 DTC,10,
detangling-brush-1pc-black,Title,Default Title,,,,,66284No ColorOS,12,
detangling-brush-1pc-haze-blue,Title,Default Title,,,,,67120No ColorOS,12,
detangling-brush-1pc-terracotta,Title,Default Title,,,,,67137No ColorOS,14,
detangling-flexi-brush-black,Title,Default Title,,,,,504216,22,
detangling-flexi-brush-haze-blue,Title,Default Title,,,,,504247,22,
detangling-flexi-brush-soft-violet,Title,Default Title,,,,,504230,22,
detangling-flexi-brush-terracotta,Title,Default Title,,,,,504223,22,
detox-shampoo-bar,Title,Default Title,,,,,508252,16,
eco-friendly-brunch-scrunchie-leopard,Title,Default Title,,,,,6219NCOS,10,
eco-friendly-chain-claw-clip-3pc-set-black-moss,Title,Default Title,,,,,8589No ColorOS,9,
eco-friendly-chain-claw-clip-3pc-set-neutral,Title,Default Title,,,,,8350No ColorOS,11,
eco-friendly-elastic-cutters-3pcset,Title,Default Title,,,,,8169No ColorOS,7,
eco-friendly-exfoliating-glove-leopard,Title,Default Title,,,,,8268No ColorOS,10,
eco-friendly-hair-brush-cleaner,Title,Default Title,,,,,8152No ColorOS,12,
eco-friendly-hair-towel,Title,Default Title,,,,,5250NCOS,27,
eco-friendly-hair-towel-black,Title,Default Title,,,,,6363NCOS,27,
eco-friendly-jumbo-open-shape-claw-clip-black,Title,Default Title,,,,,8190No ColorOS,14,
eco-friendly-large-claw-clip-black,Title,Default Title,,,,,4871NCOS,8,
eco-friendly-marble-claw-clip-blush,Title,Default Title,,,,,6295NCOS,10,
eco-friendly-medium-claw-clips-2pc-set-black,Title,Default Title,,,,,4888NCOS,10,
eco-friendly-nylon-elastics-20pc-eucalyptus,Title,Default Title,,,,,60152No ColorOS,8,
eco-friendly-nylon-elastics-20pc-set-black,Title,Default Title,,,,,5298NCOS,8,
eco-friendly-nylon-elastics-20pc-set-blush,Title,Default Title,,,,,5304NCOS,8,
eco-friendly-oversized-matte-claw-clip,Title,Default Title,,,,,6325NCOS,11,
eco-friendly-spray-bottle,Title,Default Title,,,,,8176No ColorOS,4,
elf-x-kitsch-glitter-claw-clip,Title,Default Title,,,,,61937No ColorOS,10,
elf-x-kitsch-king-satin-pillowcase-periwinkle-christmas,Title,Default Title,,,,,64181No ColorOS,28,
elf-x-kitsch-satin-heatless-curling-set-candy-cane,Title,Default Title,,,,,61968No ColorOS,20,
elf-x-kitsch-satin-pillowcase-king-north-pole,Title,Default Title,,,,,67151No ColorOS,26,
elf-x-kitsch-scrunchies-2pc-set,Title,Default Title,,,,,61944No ColorOS,12,
enamel-snap-clips-4pc-terracotta-1,Title,Default Title,,,,,60053No ColorOS,8,
essential-bobby-pin-black,Title,Default Title,,,,,1399NCONE SIZE,5,
essential-bobby-pin-blonde,Title,Default Title,,,,,1412NCONE SIZE,5,
essential-bobby-pin-tortoise,Title,Default Title,,,,,1405NCONE SIZE,5,
eucalyptus-velvet-xl-flexi-rods-4pc-set,Title,Default Title,,,,,68844NCOS,20,
eucalyptus-velvet-xl-heatless-curling-set,Title,Default Title,,,,,68837,22,
exfoliating-glove-2pc-black-terracotta,Title,Default Title,,,,,66574No ColorOS,16,
exfoliating-glove-black,Title,Default Title,,,,,66925No ColorOS,10,
extra-large-quick-dry-hair-towel-wrap-terracotta-checker,Title,Default Title,,,,,60695No ColorOS,38,
extra-long-rhinestone-bobby-pins-4pc-set,Title,Default Title,,,,,61883No ColorOS,10,
extra-wide-spa-headband-dusty-rose,Title,Default Title,,,,,8275No ColorOS,10,
flat-lay-claw-clip-2pc-curved-black-tort,Title,Default Title,,,,,60008No ColorOS,9,
flat-lay-claw-clip-3pc-flat-terracotta,Title,Default Title,,,,,60039No ColorOS,10,
friends-forever-necklace-earring-set,Color,NC,Size,OS,,,4996NCOS,22.62,
garden-bouquet-active-headbands-3pc-set,Title,Default Title,,,,,501635No ColorOS,10,
garden-bouquet-cloud-claw-clips-8pc-set-mini,Title,Default Title,,,,,69209No ColorOS,10,
garden-bouquet-cloud-gem-bobby-pins-8pc-set,Title,Default Title,,,,,69445No ColorOS,10,
garden-bouquet-cloud-scrunchies-3pc-set,Title,Default Title,,,,,68882No ColorOS,12,
garden-bouquet-ruched-satin-scrunchies-5pc-set,Title,Default Title,,,,,501598No ColorOS,10,
garden-bouquet-seamless-hair-elastics-8pc-set,Title,Default Title,,,,,68905No ColorOS,8,
garden-bouquet-wide-twist-headbands-2pc-set,Title,Default Title,,,,,69360No ColorOS,12,
gift-of-glam-creaseless-clips-2pc-set-rhinestone,Title,Default Title,,,,,64679No ColorOS,10,
gingham-blue-satin-lined-flexi-shower-cap,Title,Default Title,,,,,513706,24,
gingham-blue-xl-hair-towel-wrap,Title,Default Title,,,,,513690,26,
glass-hair-shine-serum,Title,Default Title,,,,,503998,15,
glazey-blush,Title,Default Title,,,,,9067No ColorOS,118,
glazey-charcoal,Title,Default Title,,,,,9494No ColorOS,118,
glazey-satin-lined-beanie-black,Title,Default Title,,,,,507606,22,
glazey-satin-lined-beanie-blush,Title,Default Title,,,,,507644,22,
glycolic-acid-exfoliating-face-and-body-wash,Title,Default Title,,,,,504650,14,
gold-bow-french-hair-pin-mini,Title,Default Title,,,,,507545,14,
gold-french-hair-pin,Title,Default Title,,,,,64266No ColorOS,14,
gold-metal-barrette-french-hair-pin-mini,Title,Default Title,,,,,508641,14,
gold-metal-barrettes,Title,Default Title,,,,,502717,12,
gold-metal-cloud-cuff-large,Title,Default Title,,,,,69377No ColorOS,10,
gold-metal-cloud-cuff-medium,Title,Default Title,,,,,69322No ColorOS,9,
gold-metal-cloud-cuff-small,Title,Default Title,,,,,68943No ColorOS,8,
gold-metal-pony-pins,Title,Default Title,,,,,502724,14,
gold-mini-metal-french-hair-pin-clips,Title,Default Title,,,,,508689,16,
hair-by-chrissy-x-kitsch-ceramic-thermal-rollers-8pc-set,Title,Default Title,,,,,500331No ColorOS,18,
hair-catcher,Title,Default Title,,,,,65805No ColorOS,10,
hair-towel-figure-drawing,Color,NC,Size,OS,,,5885NCOS,23,
hair-wax-stick,Title,Default Title,,,,,64976No ColorOS,16,
harry-potter-x-kitsch-recycled-plastic-claw-clip-1pc-gryffindor,Title,Default Title,,,,,66697No ColorOS,10,
harry-potter-x-kitsch-recycled-plastic-claw-clip-1pc-hufflepuff,Title,Default Title,,,,,66703No ColorOS,10,
harry-potter-x-kitsch-recycled-plastic-claw-clip-1pc-ravenclaw,Title,Default Title,,,,,66994No ColorOS,10,
harry-potter-x-kitsch-recycled-plastic-claw-clip-1pc-slytherin,Title,Default Title,,,,,65171No ColorOS,10,
harry-potter-x-kitsch-satin-pillowcase-king-gryffindor,Title,Default Title,,,,,66659No ColorOS,26,
harry-potter-x-kitsch-satin-pillowcase-king-hufflepuff,Title,Default Title,,,,,66666No ColorOS,26,
harry-potter-x-kitsch-satin-pillowcase-king-ravenclaw,Title,Default Title,,,,,66673No ColorOS,26,
harry-potter-x-kitsch-satin-pillowcase-king-slytherin,Title,Default Title,,,,,66680No ColorOS,26,
harry-potter-x-kitsch-satin-pillowcase-standard-gryffindor,Title,Default Title,,,,,66611No ColorOS,22,
harry-potter-x-kitsch-satin-pillowcase-standard-hufflepuff,Title,Default Title,,,,,66628No ColorOS,22,
harry-potter-x-kitsch-satin-pillowcase-standard-ravenclaw,Title,Default Title,,,,,66635No ColorOS,22,
harry-potter-x-kitsch-satin-pillowcase-standard-slytherin,Title,Default Title,,,,,66642No ColorOS,22,
harry-potter-x-kitsch-satin-scrunchies-4pc-set,Title,Default Title,,,,,65355No ColorOS,10,
harry-potter-x-kitsch-satin-wrapped-hair-towel-gryffindor,Title,Default Title,,,,,66710No ColorOS,29,
harry-potter-x-kitsch-satin-wrapped-hair-towel-hufflepuff,Title,Default Title,,,,,66727No ColorOS,29,
harry-potter-x-kitsch-satin-wrapped-hair-towel-ravenclaw,Title,Default Title,,,,,66734No ColorOS,29,
harry-potter-x-kitsch-satin-wrapped-hair-towel-slytherin,Title,Default Title,,,,,66741No ColorOS,29,
haze-blue-smooth-polish-brush,Title,Default Title,,,,,505794,22,
heat-protectant-styling-mist,Title,Default Title,,,,,69452No ColorOS,19,
hello-kitty-x-kitsch-glazey-pink-kitty-faces,Title,Default Title,,,,,66505No ColorOS,125,
hello-kitty-x-kitsch-pillowcase-king-kitty-bathes-in-a-sea-of-bows,Title,Default Title,,,,,65829No ColorOS,26,
hello-kitty-x-kitsch-pillowcase-king-pink-kitty-faces,Title,Default Title,,,,,65782No ColorOS,26,
hello-kitty-x-kitsch-pillowcase-king-solid-ivory-kitty-bow,Title,Default Title,,,,,65652No ColorOS,26,
hello-kitty-x-kitsch-pillowcase-king-solid-pink-kitty-face,Title,Default Title,,,,,65645No ColorOS,26,
hello-kitty-x-kitsch-pillowcase-standard-kitty-bathes-in-a-sea-of-bows,Title,Default Title,,,,,65812No ColorOS,22,
hello-kitty-x-kitsch-pillowcase-standard-pink-kitty-faces,Title,Default Title,,,,,65775No ColorOS,22,
hello-kitty-x-kitsch-pillowcase-standard-solid-ivory-kitty-bow,Title,Default Title,,,,,65638No ColorOS,22,
hello-kitty-x-kitsch-pillowcase-standard-solid-pink-kitty-face,Title,Default Title,,,,,65621No ColorOS,22,
hello-kitty-x-kitsch-recycled-fabric-puffy-scrunchies-3pc-set,Title,Default Title,,,,,65713No ColorOS,14,
hello-kitty-x-kitsch-recycled-plastic-assorted-claw-clips-3pc-set,Title,Default Title,,,,,66970No ColorOS,12,
hello-kitty-x-kitsch-recycled-plastic-bow-shape-claw-clip-1pc,Title,Default Title,,,,,66987No ColorOS,12,
hello-kitty-x-kitsch-recycled-plastic-jumbo-open-shape-claw-clip-1pc-pink-kitty-faces,Title,Default Title,,,,,66819No ColorOS,12,
hello-kitty-x-kitsch-recycled-plastic-puffy-claw-clip-1pc-kitty-bows,Title,Default Title,,,,,65690No ColorOS,10,
hello-kitty-x-kitsch-recycled-plastic-puffy-claw-clip-1pc-kitty-face,Title,Default Title,,,,,65683No ColorOS,10,
hello-kitty-x-kitsch-sleep-mist-strawberry,Title,Default Title,,,,,65911No ColorOS,19,
hello-kitty-x-kitsch-xl-heatless-curling-set-pink-kitty-faces,Title,Default Title,,,,,65676NCOS,23,
hematite-french-hair-pin,Title,Default Title,,,,,501956No ColorOS,14,
holiday-gemstone-and-bow-bobby-pins,Title,Default Title,,,,,504612,10,
holiday-gemstone-french-hair-pin,Title,Default Title,,,,,503714,16,
holiday-recycled-plastic-claw-clip-1pc-tort,Title,Default Title,,,,,66789No ColorOS,8,
holiday-red-pink-bubble-hair-ties,Title,Default Title,,,,,503738,12,
holiday-ruched-satin-scrunchies-7pc-set,Title,Default Title,,,,,513362,10,
holiday-scrunchies-3pc-set-multi-color,Title,Default Title,,,,,511917,10,
holiday-velvet-gemstone-bow-hair-clip,Title,Default Title,,,,,503660,12,
