handle,product_gid,status,variant_gid,variant_title,sku,live_price,live_compare_at
silver-french-hair-pin,gid://shopify/Product/8108769542325,ACTIVE,gid://shopify/ProductVariant/44851304038581,Default Title,501949No ColorOS,14,14
hematite-french-hair-pin,gid://shopify/Product/8108770295989,ACTIVE,gid://shopify/ProductVariant/44851306758325,Default Title,501956No ColorOS,14,14
gold-metal-cloud-cuff-medium,gid://shopify/Product/8108894159029,ACTIVE,gid://shopify/ProductVariant/44851628048565,Default Title,69322No ColorOS,9,9
kitschpro-u-pins-brown,gid://shopify/Product/8116719091893,ACTIVE,gid://shopify/ProductVariant/44903491567797,Default Title,5281NCOS,8,8
satin-glazey-pink,gid://shopify/Product/8158464999605,DRAFT,gid://shopify/ProductVariant/45100433768629,Default Title,504674No ColorOS,118,118
volumizing-thermal-round-brush,gid://shopify/Product/8177263870133,ACTIVE,gid://shopify/ProductVariant/45170165219509,Default Title,504261,49.99,79.99
detangling-flexi-brush-terracotta,gid://shopify/Product/8177263935669,ACTIVE,gid://shopify/ProductVariant/45170165317813,Default Title,504223,22,22
jojoba-bead-exfoliating-body-wash-bar,gid://shopify/Product/8185657589941,ACTIVE,gid://shopify/ProductVariant/45209995018421,Default Title,504667,14,14
glycolic-acid-exfoliating-face-and-body-wash,gid://shopify/Product/8185657786549,ACTIVE,gid://shopify/ProductVariant/45209995641013,Default Title,504650,14,14
glass-hair-shine-serum,gid://shopify/Product/8185657983157,ACTIVE,gid://shopify/ProductVariant/45209998000309,Default Title,503998,15,15
cherry-print-cloud-claw-clip-medium,gid://shopify/Product/8187742159029,ACTIVE,gid://shopify/ProductVariant/45218622570677,Default Title,500409,12,12
rustic-vanilla-hair-perfume,gid://shopify/Product/8187742781621,ACTIVE,gid://shopify/ProductVariant/45218623193269,Default Title,500782,20,20
eucalyptus-velvet-xl-heatless-curling-set,gid://shopify/Product/8198313476277,ACTIVE,gid://shopify/ProductVariant/45274656538805,Default Title,68837,22,22
terracotta-plush-microfiber-hair-towel-turban,gid://shopify/Product/8198313541813,ACTIVE,gid://shopify/ProductVariant/45274656604341,Default Title,501680,27,27
gold-metal-barrettes,gid://shopify/Product/8198313574581,ACTIVE,gid://shopify/ProductVariant/45274656637109,Default Title,502717,12,12
gold-metal-pony-pins,gid://shopify/Product/8198313607349,ACTIVE,gid://shopify/ProductVariant/45274656669877,Default Title,502724,14,14
black-ruffle-scrunchie,gid://shopify/Product/8198313640117,ACTIVE,gid://shopify/ProductVariant/45274656702645,Default Title,503332,14,14
camel-ruffle-scrunchie,gid://shopify/Product/8198313705653,ACTIVE,gid://shopify/ProductVariant/45274659455157,Default Title,503837,14,14
black-chocolate-oversized-scrunchies,gid://shopify/Product/8198313738421,ACTIVE,gid://shopify/ProductVariant/45274659487925,Default Title,503349,12,12
cream-camel-oversized-scrunchies,gid://shopify/Product/8198313771189,ACTIVE,gid://shopify/ProductVariant/45274659520693,Default Title,503851,12,12
cream-camel-satin-velvet-headbands,gid://shopify/Product/8198313803957,ACTIVE,gid://shopify/ProductVariant/45274659553461,Default Title,503554,14,14
black-chocolate-satin-velvet-headbands,gid://shopify/Product/8198313836725,ACTIVE,gid://shopify/ProductVariant/45274659586229,Default Title,503813,14,14
black-tort-cloud-cuffs-medium,gid://shopify/Product/8198313869493,ACTIVE,gid://shopify/ProductVariant/45274659618997,Default Title,500928,9,9
black-flat-cloud-clip-large,gid://shopify/Product/8198313902261,ACTIVE,gid://shopify/ProductVariant/45274659651765,Default Title,503561,10,10
black-flat-cloud-clip-medium,gid://shopify/Product/8198313967797,ACTIVE,gid://shopify/ProductVariant/45274659717301,Default Title,503578,9,9
black-flat-cloud-clip-small,gid://shopify/Product/8198314000565,ACTIVE,gid://shopify/ProductVariant/45274659750069,Default Title,503585,8,8
terracotta-checker-oversized-satin-bonnet,gid://shopify/Product/8198314033333,ACTIVE,gid://shopify/ProductVariant/45274659782837,Default Title,505190,22,22
terracotta-velvet-heatless-curling-set,gid://shopify/Product/8198314066101,ACTIVE,gid://shopify/ProductVariant/45274659815605,Default Title,68820,20,20
detangling-flexi-brush-black,gid://shopify/Product/8198339166389,ACTIVE,gid://shopify/ProductVariant/45275222507701,Default Title,504216,22,22
detangling-flexi-brush-soft-violet,gid://shopify/Product/8198339199157,ACTIVE,gid://shopify/ProductVariant/45275222540469,Default Title,504230,22,22
detangling-flexi-brush-haze-blue,gid://shopify/Product/8198339231925,ACTIVE,gid://shopify/ProductVariant/45275222573237,Default Title,504247,22,22
castor-oil-conditioner-bar-saver-bag,gid://shopify/Product/8223418187957,ACTIVE,gid://shopify/ProductVariant/45359939420341,Default Title,506227,5,5
rice-water-protein-conditioner-bar-saver-bag,gid://shopify/Product/8223418253493,ACTIVE,gid://shopify/ProductVariant/45359939518645,Default Title,506241,5,5
castor-oil-shampoo-bar-saver-bag,gid://shopify/Product/8223418319029,ACTIVE,gid://shopify/ProductVariant/45359939584181,Default Title,506234,5,5
rice-water-protein-shampoo-bar-saver-bag,gid://shopify/Product/8223418581173,ACTIVE,gid://shopify/ProductVariant/45359940108469,Default Title,506258,5,5
rosemary-biotin-shampoo-bar-saver-bag,gid://shopify/Product/8223418679477,ACTIVE,gid://shopify/ProductVariant/45359940206773,Default Title,506289,5,5
rosemary-biotin-conditioner-bar-saver-bag,gid://shopify/Product/8223418876085,ACTIVE,gid://shopify/ProductVariant/45359940305077,Default Title,506272,5,5
rice-water-shampoo-for-hair-growth,gid://shopify/Product/8226134098101,ACTIVE,gid://shopify/ProductVariant/45373831184565,Default Title,505886,14,14
rice-water-conditioner-for-hair-growth,gid://shopify/Product/8226134163637,ACTIVE,gid://shopify/ProductVariant/45373831217333,Default Title,505893,16,16
rosemary-biotin-volumizing-shampoo,gid://shopify/Product/8226134196405,ACTIVE,gid://shopify/ProductVariant/45373831250101,Default Title,505909,16,16
rosemary-biotin-volumizing-conditioner,gid://shopify/Product/8226134229173,ACTIVE,gid://shopify/ProductVariant/45373831282869,Default Title,505916,16,16
repairing-argan-oil-shampoo,gid://shopify/Product/8226134360245,ACTIVE,gid://shopify/ProductVariant/45373833806005,Default Title,505923,16,16
repairing-argan-oil-conditioner,gid://shopify/Product/8226135605429,ACTIVE,gid://shopify/ProductVariant/45373838131381,Default Title,505930,16,16
coconut-oil-shampoo-for-dry-damaged-hair,gid://shopify/Product/8226135736501,ACTIVE,gid://shopify/ProductVariant/45373841309877,Default Title,505947,16,16
coconut-oil-conditioner-for-dry-damaged-hair,gid://shopify/Product/8226136162485,ACTIVE,gid://shopify/ProductVariant/45373842522293,Default Title,505954,16,16
oak-amber-hair-perfume,gid://shopify/Product/8231800504501,ACTIVE,gid://shopify/ProductVariant/45396307902645,Default Title,505473,20,20
tea-tree-mint-clarifying-conditioner,gid://shopify/Product/8238712029365,ACTIVE,gid://shopify/ProductVariant/45421225279669,Default Title,507880,16,16
tea-tree-mint-clarifying-shampoo,gid://shopify/Product/8238712455349,ACTIVE,gid://shopify/ProductVariant/45421230096565,Default Title,507873,16,16
the-grinch-x-kitsch-whoville-cookies-hair-perfume,gid://shopify/Product/8239488401589,DRAFT,gid://shopify/ProductVariant/45425154818229,Default Title,503301,22,22
the-grinch-x-kitsch-satin-pillow-scrunchies-r-in-cindy-lou-who,gid://shopify/Product/8241174610101,DRAFT,gid://shopify/ProductVariant/45432099537077,Default Title,503288,20,20
the-grinch-x-kitsch-satin-pillowcase-whoville,gid://shopify/Product/8241247977653,DRAFT,gid://shopify/ProductVariant/45432320196789,Default Title,503226,22,22
the-grinch-x-kitsch-satin-pillowcase-whoville-king,gid://shopify/Product/8241248010421,DRAFT,gid://shopify/ProductVariant/45432320327861,Default Title,503233,26,26
the-grinch-x-kitsch-satin-pillowcase-cindy-lou-who,gid://shopify/Product/8241248043189,DRAFT,gid://shopify/ProductVariant/45432320524469,Default Title,503240,22,22
the-grinch-x-kitsch-satin-pillowcase-cindy-lou-who-king,gid://shopify/Product/8241248075957,DRAFT,gid://shopify/ProductVariant/45432320655541,Default Title,503257,26,26
the-grinch-x-kitsch-gold-bow-french-hair-pin,gid://shopify/Product/8241252466869,DRAFT,gid://shopify/ProductVariant/45432371314869,Default Title,503264,16,16
black-tort-micro-cloud-clip-set,gid://shopify/Product/8242285412533,ACTIVE,gid://shopify/ProductVariant/45437529850037,Default Title,502748,12,12
kitsch-hair-volumizing-clip-2pc-set-terracotta,gid://shopify/Product/8242285445301,ACTIVE,gid://shopify/ProductVariant/45437529981109,Default Title,507811,8,8
star-wars-kitsch-glitter-cloud-clip-in-r2-d2,gid://shopify/Product/10172077113525,ACTIVE,gid://shopify/ProductVariant/51258475675829,Default Title,504445,12,12
star-wars-kitsch-glitter-cloud-clip-in-c-3po,gid://shopify/Product/10172077146293,ACTIVE,gid://shopify/ProductVariant/51258475708597,Default Title,504452,12,12
star-wars-kitsch-glitter-cloud-clip-in-stormtrooper,gid://shopify/Product/10172077211829,ACTIVE,gid://shopify/ProductVariant/51258476003509,Default Title,504476,12,12
star-wars-kitsch-glitter-cloud-clip-in-darth-vader,gid://shopify/Product/10172077244597,ACTIVE,gid://shopify/ProductVariant/51258476036277,Default Title,504469,12,12
star-wars-kitsch-pillow-scrunchies-in-satin-r2-d2-stormtroopers,gid://shopify/Product/10172077310133,ACTIVE,gid://shopify/ProductVariant/51258476265653,Default Title,504483,20,20
star-wars-kitsch-satin-flexi-rods-light-side-vs-dark-side,gid://shopify/Product/10172077408437,ACTIVE,gid://shopify/ProductVariant/51258476462261,Default Title,504490,21,21
star-wars-kitsch-satin-pillowcase-in-r2-d2-c-3po,gid://shopify/Product/10172089827509,ACTIVE,gid://shopify/ProductVariant/51258546815157,Default Title,504407,26,26
star-wars-kitsch-satin-pillowcase-in-rebel-alliance,gid://shopify/Product/10172089860277,ACTIVE,gid://shopify/ProductVariant/51258546847925,Default Title,504421,22,22
star-wars-kitsch-satin-pillowcase-in-darth-vader-stormtroopers,gid://shopify/Product/10172089893045,ACTIVE,gid://shopify/ProductVariant/51258546880693,Default Title,504360,26,26
star-wars-kitsch-satin-pillowcase-in-galactic-empire,gid://shopify/Product/10172089958581,ACTIVE,gid://shopify/ProductVariant/51258549403829,Default Title,504384,26,26
star-wars-kitsch-satin-pillowcase-in-r2-d2-c-3po-king,gid://shopify/Product/10172089991349,ACTIVE,gid://shopify/ProductVariant/51258549436597,Default Title,504414,28,28
star-wars-kitsch-satin-pillowcase-in-rebel-alliance-king,gid://shopify/Product/10172090089653,ACTIVE,gid://shopify/ProductVariant/51258549895349,Default Title,504438,28,28
star-wars-kitsch-satin-pillowcase-in-darth-vader-stormtroopers-king,gid://shopify/Product/10172090122421,ACTIVE,gid://shopify/ProductVariant/51258549928117,Default Title,504377,28,28
star-wars-kitsch-satin-pillowcase-in-galactic-empire-king,gid://shopify/Product/10172099035317,ACTIVE,gid://shopify/ProductVariant/51258597474485,Default Title,504391,28,28
star-wars-kitsch-conditioner-bar-saver-bag-r2-d2,gid://shopify/Product/10172099068085,ACTIVE,gid://shopify/ProductVariant/51258597507253,Default Title,504551,6,6
star-wars-kitsch-shampoo-bar-saver-bag-c-3po,gid://shopify/Product/10172099100853,ACTIVE,gid://shopify/ProductVariant/51258597540021,Default Title,504544,6,6
star-wars-kitsch-body-bar-saver-bag-stormtrooper,gid://shopify/Product/10172099133621,ACTIVE,gid://shopify/ProductVariant/51258597572789,Default Title,504575,6,6
star-wars-kitsch-body-bar-saver-bag-darth-vader,gid://shopify/Product/10172099166389,ACTIVE,gid://shopify/ProductVariant/51258597605557,Default Title,504568,6,6
lisa-frank-x-kitsch-xl-creaseless-clips-in-rainbow-leopard,gid://shopify/Product/10172120891573,ACTIVE,gid://shopify/ProductVariant/51258710196405,Default Title,504353,11,11
lisa-frank-x-kitsch-cloud-clip-in-angel-kitty,gid://shopify/Product/10172120924341,ACTIVE,gid://shopify/ProductVariant/51258710229173,Default Title,503462,12,12
lisa-frank-x-kitsch-cloud-clip-in-markie,gid://shopify/Product/10172120957109,ACTIVE,gid://shopify/ProductVariant/51258710261941,Default Title,503479,12,12
lisa-frank-x-kitsch-glitter-claw-clip-in-dancing-dolphins,gid://shopify/Product/10172120989877,ACTIVE,gid://shopify/ProductVariant/51258710294709,Default Title,503592,14,14
lisa-frank-x-kitsch-glitter-claw-clip-in-zoomer-zorbit,gid://shopify/Product/10172121022645,ACTIVE,gid://shopify/ProductVariant/51258710327477,Default Title,503608,14,14
lisa-frank-x-kitsch-pillow-scrunchies-in-satin-in-the-fantastic-world-of-lisa-frank,gid://shopify/Product/10172121055413,ACTIVE,gid://shopify/ProductVariant/51258710360245,Default Title,503509,20,20
lisa-frank-x-kitsch-ruched-satin-scrunchies-in-rainbow-leopard,gid://shopify/Product/10172121088181,ACTIVE,gid://shopify/ProductVariant/51258710393013,Default Title,503486,11,11
lisa-frank-x-kitsch-satin-pillowcase-in-the-fantastic-world-of-lisa-frank,gid://shopify/Product/10172132622517,ACTIVE,gid://shopify/ProductVariant/51258776846517,Default Title,503387,22,22
lisa-frank-x-kitsch-satin-pillowcase-in-angel-kitty,gid://shopify/Product/10172132688053,ACTIVE,gid://shopify/ProductVariant/51258777043125,Default Title,503448,22,22
lisa-frank-x-kitsch-satin-pillowcase-in-markie,gid://shopify/Product/10172132720821,ACTIVE,gid://shopify/ProductVariant/51258777239733,Default Title,503424,22,22
lisa-frank-x-kitsch-satin-pillowcase-in-rainbow-leopard,gid://shopify/Product/10172132753589,ACTIVE,gid://shopify/ProductVariant/51258777370805,Default Title,503400,26,26
lisa-frank-x-kitsch-satin-pillowcase-in-the-fantastic-world-of-lisa-frank-king,gid://shopify/Product/10172132786357,ACTIVE,gid://shopify/ProductVariant/51258777501877,Default Title,503394,28,28
lisa-frank-x-kitsch-satin-pillowcase-in-angel-kitty-king,gid://shopify/Product/10172132819125,ACTIVE,gid://shopify/ProductVariant/51258777632949,Default Title,503455,28,28
lisa-frank-x-kitsch-satin-pillowcase-in-markie-king,gid://shopify/Product/10172132851893,ACTIVE,gid://shopify/ProductVariant/51258777764021,Default Title,503431,28,28
lisa-frank-x-kitsch-king-satin-pillowcase-rainbow-leopard,gid://shopify/Product/10172132884661,ACTIVE,gid://shopify/ProductVariant/51258777895093,Default Title,503417,28,28
lisa-frank-x-kitsch-dancing-dreams-body-wash-bar,gid://shopify/Product/10172132982965,ACTIVE,gid://shopify/ProductVariant/51258778255541,Default Title,503547,12,12
star-wars-kitsch-rice-water-protein-strengthening-solid-conditioner-r2-d2,gid://shopify/Product/10173115498677,ACTIVE,gid://shopify/ProductVariant/51263277465781,Default Title,504513,16,16
star-wars-kitsch-rice-water-protein-strengthening-solid-shampoo-c-3po,gid://shopify/Product/10173115596981,ACTIVE,gid://shopify/ProductVariant/51263277629621,Default Title,504506,19,19
star-wars-kitsch-shea-butter-moisturizing-solid-body-wash-stormtrooper-swirl,gid://shopify/Product/10173115793589,ACTIVE,gid://shopify/ProductVariant/51263277858997,Default Title,504537,14,14
star-wars-kitsch-charcoal-detoxifying-solid-body-wash-darth-detox,gid://shopify/Product/10173115859125,ACTIVE,gid://shopify/ProductVariant/51263278022837,Default Title,504520,12,12
castor-oil-nourishing-shampoo,gid://shopify/Product/10176874381493,ACTIVE,gid://shopify/ProductVariant/51283097682101,Default Title,505961,16,16
root-lifting-thickening-spray,gid://shopify/Product/10181396136117,ACTIVE,gid://shopify/ProductVariant/51303314522293,Default Title,505985,23,23
blush-contour-pillow-eye-mask,gid://shopify/Product/10182309445813,ACTIVE,gid://shopify/ProductVariant/51307310088373,Default Title,69124,35,35
charcoal-contour-pillow-eye-mask,gid://shopify/Product/10182309609653,ACTIVE,gid://shopify/ProductVariant/51307310350517,Default Title,69131,35,35
spider-metal-rhinestone-hair-clips,gid://shopify/Product/10183196278965,ACTIVE,gid://shopify/ProductVariant/51311682617525,Default Title,500669,10,10
spiderweb-veil-headband,gid://shopify/Product/10183196475573,ACTIVE,gid://shopify/ProductVariant/51311683305653,Default Title,500706,12,12
black-cat-lace-headband-mask,gid://shopify/Product/10183196508341,ACTIVE,gid://shopify/ProductVariant/51311683436725,Default Title,500690,12,12
spiderweb-cloud-scrunchies,gid://shopify/Product/10183196573877,DRAFT,gid://shopify/ProductVariant/51311683567797,Default Title,500737,12,12
kitsch-compact-mirror-keychain-terracotta,gid://shopify/Product/10184817803445,ACTIVE,gid://shopify/ProductVariant/51325254107317,Default Title,507583,22,22
terracotta-arch-desk-mirror,gid://shopify/Product/10184817836213,ACTIVE,gid://shopify/ProductVariant/51325254205621,Default Title,507569,38,38
holiday-white-gemstone-bobby-pins,gid://shopify/Product/10187850186933,ACTIVE,gid://shopify/ProductVariant/51367622049973,Default Title,503721,8,8
holiday-gemstone-and-bow-bobby-pins,gid://shopify/Product/10187850252469,ACTIVE,gid://shopify/ProductVariant/51367622246581,Default Title,504612,10,10
holiday-white-rhinestone-cloud-cuff-medium,gid://shopify/Product/10187850285237,ACTIVE,gid://shopify/ProductVariant/51367622344885,Default Title,504629,10,10
holiday-gemstone-french-hair-pin,gid://shopify/Product/10187850416309,ACTIVE,gid://shopify/ProductVariant/51367623065781,Default Title,503714,16,16
holiday-velvet-gemstone-bow-hair-clip,gid://shopify/Product/10187850449077,ACTIVE,gid://shopify/ProductVariant/51367623131317,Default Title,503660,12,12
satin-rhinestone-bow-scrunchie,gid://shopify/Product/10187850580149,ACTIVE,gid://shopify/ProductVariant/51367623393461,Default Title,503677,12,12
satin-pillowcase-in-striped-bows,gid://shopify/Product/10187850678453,DRAFT,gid://shopify/ProductVariant/51367623557301,Default Title,503653,20,20
holiday-red-pink-bubble-hair-ties,gid://shopify/Product/10187850743989,ACTIVE,gid://shopify/ProductVariant/51367623688373,Default Title,503738,12,12
red-pink-green-velvet-headbands,gid://shopify/Product/10187850875061,ACTIVE,gid://shopify/ProductVariant/51367624179893,Default Title,503745,10,10
skeleton-flat-claw-clips,gid://shopify/Product/10192100688053,DRAFT,gid://shopify/ProductVariant/51427238019253,Default Title,500980,10,10
black-tort-cloud-cuffs-small,gid://shopify/Product/10195492405429,ACTIVE,gid://shopify/ProductVariant/51448068964533,Default Title,502731,8,8
moisturizing-coconut-oil-deep-conditioning-mask,gid://shopify/Product/10195505119413,ACTIVE,gid://shopify/ProductVariant/51448191189173,Default Title,504742,20,20
black-active-headbands,gid://shopify/Product/10197565178037,ACTIVE,gid://shopify/ProductVariant/51462035079349,Default Title,505718,10,10
kojic-acid-face-body-cleansing-pads,gid://shopify/Product/10200047780021,ACTIVE,gid://shopify/ProductVariant/51473324474549,Default Title,507682,23,23
kitsch-set-flow-active-headband-heather-gray,gid://shopify/Product/10200085102773,ACTIVE,gid://shopify/ProductVariant/51473509712053,Default Title,506470,28,28
kitsch-set-flow-active-headband-chocolate-brown,gid://shopify/Product/10200170037429,ACTIVE,gid://shopify/ProductVariant/51473892933813,Default Title,506487,28,28
mini-black-detangling-flexi-brush,gid://shopify/Product/10201101697205,ACTIVE,gid://shopify/ProductVariant/51476883898549,Default Title,504797,10,10
mini-haze-blue-detangling-flexi-brush,gid://shopify/Product/10201101762741,ACTIVE,gid://shopify/ProductVariant/51476884029621,Default Title,504827,10,10
mini-terracotta-detangling-flexi-brush,gid://shopify/Product/10201101795509,ACTIVE,gid://shopify/ProductVariant/51476884127925,Default Title,504803,10,10
black-smooth-polish-brush,gid://shopify/Product/10208291717301,ACTIVE,gid://shopify/ProductVariant/51577142149301,Default Title,505763,22,22
terracotta-smooth-polish-brush,gid://shopify/Product/10208291815605,ACTIVE,gid://shopify/ProductVariant/51577142247605,Default Title,505770,22,22
soft-violet-smooth-polish-brush,gid://shopify/Product/10208291913909,ACTIVE,gid://shopify/ProductVariant/51577142345909,Default Title,505787,22,22
haze-blue-smooth-polish-brush,gid://shopify/Product/10208292012213,ACTIVE,gid://shopify/ProductVariant/51577142444213,Default Title,505794,22,22
scalp-renewal-brush-terracotta,gid://shopify/Product/10209243627701,ACTIVE,gid://shopify/ProductVariant/51580145139893,Default Title,505855,12,12
detail-define-styling-brush-set,gid://shopify/Product/10209464352949,ACTIVE,gid://shopify/ProductVariant/51580720775349,Default Title,505848 DTC,10,10
recycled-plastic-wet-dry-brush-black,gid://shopify/Product/10209881686197,ACTIVE,gid://shopify/ProductVariant/51582244028597,Default Title,505800,16,16
recycled-plastic-wet-dry-brush-terracotta,gid://shopify/Product/10209881718965,ACTIVE,gid://shopify/ProductVariant/51582244061365,Default Title,505817,19,19
recycled-plastic-wet-dry-brush-soft-violet,gid://shopify/Product/10209918582965,ACTIVE,gid://shopify/ProductVariant/51582325686453,Default Title,505824,16,16
recycled-plastic-wet-dry-brush-haze-blue,gid://shopify/Product/10209918615733,ACTIVE,gid://shopify/ProductVariant/51582325719221,Default Title,505831,19,19
tula-rose-hair-perfume,gid://shopify/Product/10216664531125,ACTIVE,gid://shopify/ProductVariant/51621564711093,Default Title,506333,20,20
kitsch-large-thermal-round-brush-haze-blue,gid://shopify/Product/10229033697461,ACTIVE,gid://shopify/ProductVariant/51716733501621,Default Title,504285,49.99,79.99
glazey-satin-lined-beanie-black,gid://shopify/Product/10235351630005,ACTIVE,gid://shopify/ProductVariant/51775446024373,Default Title,507606,22,22
glazey-satin-lined-beanie-blush,gid://shopify/Product/10235351662773,DRAFT,gid://shopify/ProductVariant/51775446057141,Default Title,507644,22,22
humidity-blocking-frizz-shield-spray,gid://shopify/Product/10239030034613,ACTIVE,gid://shopify/ProductVariant/51800858263733,Default Title,505992,26,26
african-net-sponge-rosewood,gid://shopify/Product/10239176900789,ACTIVE,gid://shopify/ProductVariant/51801099960501,Default Title,507705,10,10
african-net-sponge-berry-pink,gid://shopify/Product/10239176933557,ACTIVE,gid://shopify/ProductVariant/51801099993269,Default Title,507712,10,10
african-net-sponge-aqua-grey,gid://shopify/Product/10239176999093,ACTIVE,gid://shopify/ProductVariant/51801100058805,Default Title,507736,10,10
satin-pillow-scrunchies-4pc-black,gid://shopify/Product/10239177064629,ACTIVE,gid://shopify/ProductVariant/51801100124341,Default Title,507750,25,25
metal-enamel-keychain-terracotta-scrunchie,gid://shopify/Product/10239202066613,ACTIVE,gid://shopify/ProductVariant/51801194889397,Default Title,508818,9.99,9.99
metal-enamel-keychain-warm-sugar,gid://shopify/Product/10239202099381,ACTIVE,gid://shopify/ProductVariant/51801194987701,Default Title,508825,9.99,9.99
metal-enamel-keychain-cloud-clip-haze-blue,gid://shopify/Product/10239202132149,ACTIVE,gid://shopify/ProductVariant/51801195086005,Default Title,508832,9.99,9.99
satin-pillow-scrunchies-4pc-blush,gid://shopify/Product/10244866867381,ACTIVE,gid://shopify/ProductVariant/51815611924661,Default Title,507743,25,25
rice-water-protein-restoring-face-body-wash-bar,gid://shopify/Product/10247970717877,ACTIVE,gid://shopify/ProductVariant/51824712089781,Default Title,506302,14,14
kitsch-beachy-gelato-hair-perfume,gid://shopify/Product/10249342714037,ACTIVE,gid://shopify/ProductVariant/51829095202997,Default Title,509693,20,20
coastal-sorbet-hair-perfume,gid://shopify/Product/10249342746805,ACTIVE,gid://shopify/ProductVariant/51829095235765,Default Title,509709,20,20
kitschpop-paddle-brush-terracotta,gid://shopify/Product/10262850994357,ACTIVE,gid://shopify/ProductVariant/51907478061237,Default Title,508344,22,22
kitschpop-paddle-brush-haze-blue,gid://shopify/Product/10262851027125,ACTIVE,gid://shopify/ProductVariant/51907478126773,Default Title,511207,22,22
kitschpop-paddle-brush-soft-violet,gid://shopify/Product/10262851059893,ACTIVE,gid://shopify/ProductVariant/51907478159541,Default Title,511214,22,22
kitschpop-cloud-clip-charms-in-pearlized-cream,gid://shopify/Product/10262851092661,ACTIVE,gid://shopify/ProductVariant/51907478192309,Default Title,509129,20,20
kitschpop-curved-claw-clip-charms-in-pearlized-cream,gid://shopify/Product/10262851125429,ACTIVE,gid://shopify/ProductVariant/51907478388917,Default Title,509136,20,20
kitschpop-cloud-clip-charms-in-vintage-black,gid://shopify/Product/10262851158197,ACTIVE,gid://shopify/ProductVariant/51907478421685,Default Title,509167,20,20
kitschpop-curved-claw-clip-7pc-set-vintage-black,gid://shopify/Product/10262851223733,ACTIVE,gid://shopify/ProductVariant/51907479077045,Default Title,509174,20,20
kitschpop-charms-in-vintage-ivory,gid://shopify/Product/10273473102005,ACTIVE,gid://shopify/ProductVariant/51932462088373,Default Title,509082,14,14
kitschpop-charms-in-vintage-pink,gid://shopify/Product/10273473134773,ACTIVE,gid://shopify/ProductVariant/51932462121141,Default Title,509099,14,14
kitschpop-charms-in-vintage-black,gid://shopify/Product/10273473167541,ACTIVE,gid://shopify/ProductVariant/51932462153909,Default Title,510590,14,14
kitschpop-charms-in-vintage-emerald,gid://shopify/Product/10273473331381,ACTIVE,gid://shopify/ProductVariant/51932462612661,Default Title,510606,14,14
blush-petal-hair-elastics,gid://shopify/Product/10279860895925,ACTIVE,gid://shopify/ProductVariant/51953241030837,Default Title,508733,10,10
black-satin-ultra-petite-scrunchies-6pc-set,gid://shopify/Product/10289302700213,DRAFT,gid://shopify/ProductVariant/51995745321141,Default Title,509679,10,10
satin-ultra-petite-scrunchies-6pc-set-mocha,gid://shopify/Product/10289302732981,DRAFT,gid://shopify/ProductVariant/51995745353909,Default Title,509686,10,10
rosewood-seamless-hair-elastics-12pc-set,gid://shopify/Product/10289302765749,ACTIVE,gid://shopify/ProductVariant/51995745386677,Default Title,509624,8,8
sedona-seamless-hair-elastics-12pc-set,gid://shopify/Product/10289302864053,ACTIVE,gid://shopify/ProductVariant/51995745484981,Default Title,509631,8,8
bridgerton-x-kitsch-standard-satin-pillowcase-garden-toile,gid://shopify/Product/10295550935221,ACTIVE,gid://shopify/ProductVariant/52025811665077,Default Title,507378,22,22
bridgerton-x-kitsch-standard-satin-pillowcase-wisteria,gid://shopify/Product/10295551033525,ACTIVE,gid://shopify/ProductVariant/52025811730613,Default Title,507392,22,22
bridgerton-x-kitsch-king-satin-pillowcase-garden-toile,gid://shopify/Product/10295571022005,ACTIVE,gid://shopify/ProductVariant/52025826967733,Default Title,507385,28,28
bridgerton-x-kitsch-king-satin-pillowcase-wisteria,gid://shopify/Product/10295571120309,ACTIVE,gid://shopify/ProductVariant/52025827098805,Default Title,507408,28,28
bridgerton-x-kitsch-satin-rosette-medium-flat-cloud-clip-wisteria,gid://shopify/Product/10295571218613,ACTIVE,gid://shopify/ProductVariant/52025828802741,Default Title,507415,16,16
bridgerton-x-kitsch-recycled-plastic-creaseless-clips-4pc-set-toile-in-bloom,gid://shopify/Product/10295571251381,ACTIVE,gid://shopify/ProductVariant/52025828868277,Default Title,508900,16,16
bridgerton-x-kitsch-satin-lined-flexi-shower-cap-wisteria,gid://shopify/Product/10295571284149,ACTIVE,gid://shopify/ProductVariant/52025828901045,Default Title,508917,26,26
bridgerton-x-kitsch-pillow-scrunchies-r-in-satin-2pc-set-toile-in-bloom,gid://shopify/Product/10295571316917,ACTIVE,gid://shopify/ProductVariant/52025828933813,Default Title,507439,23,23
bridgerton-x-kitsch-breathable-satin-bonnet-garden-toile,gid://shopify/Product/10295571349685,ACTIVE,gid://shopify/ProductVariant/52025828966581,Default Title,507422,24,24
smooth-polish-brush-coastal-blue-print,gid://shopify/Product/10300699967669,ACTIVE,gid://shopify/ProductVariant/52049375756469,Default Title,509501,18,18
coastal-cottage-multi-color-ruched-satin-scrunchies,gid://shopify/Product/10300700000437,ACTIVE,gid://shopify/ProductVariant/52049375789237,Default Title,509235,12,12
pearlized-cream-butter-yellow-jelly-cloud-clips-mini,gid://shopify/Product/10300700065973,ACTIVE,gid://shopify/ProductVariant/52049376215221,Default Title,509259,12,12
metal-clam-shell-french-hair-pin-gold,gid://shopify/Product/10300700164277,ACTIVE,gid://shopify/ProductVariant/52049376477365,Default Title,509303,16,16
