handle,product_gid,status,variant_gid,variant_title,sku,live_price,live_compare_at
satin-pillowcase-king-heart,gid://shopify/Product/7681312522421,ACTIVE,gid://shopify/ProductVariant/43706224378037,Default Title,67212No ColorOS,29,29
metal-open-shape-cloud-claw-clip-1pc-gold,gid://shopify/Product/7682134147253,ACTIVE,gid://shopify/ProductVariant/43709796450485,Default Title,65942No ColorOS,9,9
metal-medium-open-shape-cloud-claw-clip-1pc-hematite,gid://shopify/Product/7682137686197,ACTIVE,gid://shopify/ProductVariant/43709838491829,Default Title,66956No ColorOS,9,9
recycled-plastic-medium-rhinestone-cloud-claw-clip-black,gid://shopify/Product/7682141880501,ACTIVE,gid://shopify/ProductVariant/43709881090229,Default Title,65966No ColorOS,12,12
recycled-plastic-medium-rhinestone-cloud-claw-clip-camel,gid://shopify/Product/7682146762933,ACTIVE,gid://shopify/ProductVariant/43709954425013,Default Title,66154No ColorOS,7,10
recycled-plastic-medium-rhinestone-cloud-claw-clip-ivory,gid://shopify/Product/7682151678133,ACTIVE,gid://shopify/ProductVariant/43710007967925,Default Title,67205No ColorOS,12,12
recycled-plastic-cloud-claw-clips-2pc-set-black-and-tort,gid://shopify/Product/7683048734901,ACTIVE,gid://shopify/ProductVariant/43714696380597,Default Title,66222No ColorOS,12,12
rosemary-biotin-volumizing-solid-shampoo,gid://shopify/Product/7696241230005,ACTIVE,gid://shopify/ProductVariant/43761596465333,Default Title,64945No ColorOS,16,16
castor-oil-solid-conditioner,gid://shopify/Product/7696267772085,ACTIVE,gid://shopify/ProductVariant/43761727602869,Default Title,66826No ColorOS,16,16
rosemary-biotin-volumizing-solid-conditioner,gid://shopify/Product/7696270327989,ACTIVE,gid://shopify/ProductVariant/43761736614069,Default Title,64952No ColorOS,16,16
exfoliating-glove-black,gid://shopify/Product/7703558521013,ACTIVE,gid://shopify/ProductVariant/43792255418549,Default Title,66925No ColorOS,10,10
moisturizing-argan-milk-leave-in-conditioner,gid://shopify/Product/7720880930997,ACTIVE,gid://shopify/ProductVariant/43850836443317,Default Title,64488No ColorOS,11,11
recycled-plastic-wide-headband-tort,gid://shopify/Product/7724548980917,ACTIVE,gid://shopify/ProductVariant/43864017404085,Default Title,66949No ColorOS,12,12
perfect-glide-safety-razor-black2,gid://shopify/Product/7737519308981,ACTIVE,gid://shopify/ProductVariant/43898909622453,Default Title,67786No ColorOS,29,29
hello-kitty-x-kitsch-glazey-pink-kitty-faces,gid://shopify/Product/7740515582133,ACTIVE,gid://shopify/ProductVariant/43906180513973,Default Title,66505No ColorOS,125,125
tea-tree-mint-clarifying-solid-conditioner,gid://shopify/Product/7745698857141,ACTIVE,gid://shopify/ProductVariant/43916267684021,Default Title,66833NCOS,16,16
holiday-recycled-plastic-claw-clip-1pc-tort,gid://shopify/Product/7745732083893,DRAFT,gid://shopify/ProductVariant/43916401606837,Default Title,66789No ColorOS,8,8
gift-of-glam-creaseless-clips-2pc-set-rhinestone,gid://shopify/Product/7745732608181,DRAFT,gid://shopify/ProductVariant/43916402098357,Default Title,64679No ColorOS,10,10
100-castor-oil-2oz,gid://shopify/Product/7752449032373,ACTIVE,gid://shopify/ProductVariant/43933843751093,Default Title,65324No ColorOS,12,12
bt21-x-kitsch-recycled-plastic-puffy-claw-clip-1pc-chimmy,gid://shopify/Product/7753843671221,ACTIVE,gid://shopify/ProductVariant/43940984029365,Default Title,66369No ColorOS,12,12
vented-paddle-brush-1pc-terracotta,gid://shopify/Product/7758682521781,DRAFT,gid://shopify/ProductVariant/43956832436405,Default Title,67816No ColorOS,12,12
shave-butter-gender-neutral-packaging,gid://shopify/Product/7773864198325,DRAFT,gid://shopify/ProductVariant/43997835854005,Default Title,67809No ColorOS,9,9
kojic-acid-face-and-body-bar,gid://shopify/Product/7785571680437,ACTIVE,gid://shopify/ProductVariant/44017093771445,Default Title,66185NCOS,18,18
coconut-oil-deep-moisturizing-solid-shampoo-bar,gid://shopify/Product/7785573023925,ACTIVE,gid://shopify/ProductVariant/44017100718261,Default Title,64938NCOS,16,16
shower-filter-refill-cartridge-2pc,gid://shopify/Product/7800145936565,DRAFT,gid://shopify/ProductVariant/44039495352501,Default Title,68622No ColorOS,38,38
hair-catcher,gid://shopify/Product/7832227479733,ACTIVE,gid://shopify/ProductVariant/44093145972917,Default Title,65805No ColorOS,10,10
harry-potter-x-kitsch-satin-pillowcase-king-gryffindor,gid://shopify/Product/7863090512053,ACTIVE,gid://shopify/ProductVariant/44177241899189,Default Title,66659No ColorOS,26,26
harry-potter-x-kitsch-satin-pillowcase-king-hufflepuff,gid://shopify/Product/7863093690549,ACTIVE,gid://shopify/ProductVariant/44177253892277,Default Title,66666No ColorOS,26,26
harry-potter-x-kitsch-satin-pillowcase-king-slytherin,gid://shopify/Product/7863095427253,ACTIVE,gid://shopify/ProductVariant/44177259528373,Default Title,66680No ColorOS,26,26
harry-potter-x-kitsch-satin-pillowcase-king-ravenclaw,gid://shopify/Product/7863097852085,ACTIVE,gid://shopify/ProductVariant/44177266278581,Default Title,66673No ColorOS,26,26
harry-potter-x-kitsch-satin-scrunchies-4pc-set,gid://shopify/Product/7863101259957,ACTIVE,gid://shopify/ProductVariant/44177275748533,Default Title,65355No ColorOS,10,10
harry-potter-x-kitsch-recycled-plastic-claw-clip-1pc-gryffindor,gid://shopify/Product/7863108468917,ACTIVE,gid://shopify/ProductVariant/44177301078197,Default Title,66697No ColorOS,10,10
harry-potter-x-kitsch-recycled-plastic-claw-clip-1pc-slytherin,gid://shopify/Product/7863110697141,ACTIVE,gid://shopify/ProductVariant/44177310744757,Default Title,65171No ColorOS,10,10
harry-potter-x-kitsch-recycled-plastic-claw-clip-1pc-ravenclaw,gid://shopify/Product/7863113810101,ACTIVE,gid://shopify/ProductVariant/44177327620277,Default Title,66994No ColorOS,10,10
harry-potter-x-kitsch-recycled-plastic-claw-clip-1pc-hufflepuff,gid://shopify/Product/7863117086901,ACTIVE,gid://shopify/ProductVariant/44177342365877,Default Title,66703No ColorOS,10,10
elf-x-kitsch-satin-pillowcase-king-north-pole,gid://shopify/Product/7881405989045,ACTIVE,gid://shopify/ProductVariant/44216833605813,Default Title,67151No ColorOS,26,26
vented-paddle-brush-1pc-black,gid://shopify/Product/7883306139829,DRAFT,gid://shopify/ProductVariant/44220506276021,Default Title,66260No ColorOS,12,12
detangling-brush-1pc-black,gid://shopify/Product/7928966447285,ACTIVE,gid://shopify/ProductVariant/44339409846453,Default Title,66284No ColorOS,12,12
detangling-brush-1pc-haze-blue,gid://shopify/Product/7928966480053,ACTIVE,gid://shopify/ProductVariant/44339409879221,Default Title,67120No ColorOS,12,12
detangling-brush-1pc-terracotta,gid://shopify/Product/7928967168181,ACTIVE,gid://shopify/ProductVariant/44339411288245,Default Title,67137No ColorOS,14,14
